-4.9206	0.8167	-5.9037	-0.6505	-4.694	-1.8525	-5.6567	1.7713	1.6999	-5.1314	0.6335	1.4443
-5.0689	0.6693	-5.5586	-0.5739	-4.7377	-1.3319	-5.1521	1.3684	-0.7896	-4.8194	1.7967	0.1592
-4.7142	-0.1731	-4.96	0.4648	-4.5442	-1.0365	-4.8445	0.8845	-0.0306	-4.5025	1.2317	0.2037
-3.8433	-0.201	-3.8551	0.1244	-4.3649	0.098	-3.7881	0.2108	-1.4744	-2.9774	-2.2159	-0.4808
-3.4012	-0.392	-2.9118	-0.0957	-3.6934	-0.2458	-2.6271	-0.3406	-1.056	-2.6974	0.0799	0.0549
-2.7765	0.2468	-2.0551	-0.0447	-2.9375	1.9122	-2.1327	-1.5501	0.0681	-1.9558	-2.1184	0.9871
-2.3146	0.1851	-1.8661	1.2486	-2.0981	2.615	-1.4951	-2.2936	1.6404	-1.6857	0.0675	-0.9062
-1.0412	1.4658	-0.4367	1.9078	-1.1734	1.7038	-0.2973	-2.2324	0.5442	-0.7796	-0.6403	-0.1809
0.1024	-0.7288	1.1135	-2.0327	0.2918	-0.2275	1.3028	-0.9535	-2.4478	0.5586	-1.7294	-1.1898
-0.1595	-0.6351	0.3335	-0.626	0.0291	1.4205	0.6104	-1.7474	0.5584	0.1815	-1.3086	-0.597
0.5902	-0.4445	1.2896	0.9898	1.1784	-0.0013	1.2138	-1.6396	0.2658	1.2056	-2.2199	-0.7996
2.1502	-1.8008	2.7019	-0.8139	2.7952	-0.8186	2.78	-1.4305	0.3743	1.3193	3.0372	-1.4784
2.4193	-1.6706	2.8989	-1.1107	2.8019	-0.5444	2.8896	-0.5516	0.1709	1.7388	3.1966	-0.7903
2.766	-1.7368	3.0883	0.0669	3.0242	-0.9893	3.2878	-0.0074	-1.0043	2.9931	-0.48	-0.9523
3.1849	-1.1403	3.3159	-0.8861	3.3529	-0.9407	3.031	1.2518	-0.2665	3.1708	0.6457	-0.2804
3.5662	1.1887	2.8165	-1.1947	2.9402	-0.7418	2.0532	1.5985	0.0592	2.7404	0.053	0.6304
3.799	1.5374	2.9701	0.2324	3.2399	-0.554	2.1569	1.7545	0.7999	3.3952	-1.253	0.4452
4.617	1.3017	3.4062	1.2107	4.1128	0.0083	3.0318	2.1737	0.2889	3.4279	0.8045	1.5604
5.0448	1.5114	3.6128	1.7836	4.4768	1.5266	3.6363	1.7332	0.5989	3.8179	0.4193	2.1708
